Ano,Trimestre,Categoria,Tipo,CNPJ,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,Quantidade total de clientes CCS e SCR,Quantidade de clientes CCS,Quantidade de clientes SCR
2021,1º,Grupo Secundário,Banco/financeira,3215790,BANCO TOYOTA DO BRASIL S.A., ,0,0,1,1,164435,15283,150113
2021,1º,Grupo Secundário,Banco/financeira,17351180,BANCO TRIANGULO S.A., ,3,8,16,27,1953437,248674,1790932
2021,1º,Grupo Secundário,Banco/financeira,57839805,BANCO TRICURY S.A., ,0,1,1,2,685,666,149
2021,1º,Grupo Secundário,Conglomerado, ,BANCOOB (conglomerado), ,19,31,18,68,4576738,2242360,2872105
2021,1º,Grupo Secundário,Conglomerado, ,BANESTES (conglomerado), ,21,22,5,48,1232727,1181686,473114
2021,1º,Grupo Secundário,Conglomerado, ,BANRISUL (conglomerado),"24,99",127,349,60,536,5080031,3756328,3950764
2021,1º,Grupo Secundário,Conglomerado, ,BARIGUI (conglomerado), ,7,15,26,48,42559,15683,29761
2021,1º,Top 10,Conglomerado, ,BB (conglomerado),"21,25",1463,2782,2225,6470,68844801,65031349,30167056
2021,1º,Grupo Secundário,Conglomerado, ,BMG (conglomerado),"165,20",1190,644,251,2085,7202992,3421046,5072090
2021,1º,Grupo Secundário,Conglomerado, ,BNP PARIBAS (conglomerado),"181,98",447,250,90,787,2456247,12581,2444170
2021,1º,Grupo Secundário,Conglomerado, ,BNY MELLON (conglomerado), ,0,0,1,1,3744,3744, 
2021,1º,Top 10,Conglomerado, ,BRADESCO (conglomerado),"22,78",2248,3913,2591,8752,98648524,89718703,43974719
2021,1º,Grupo Secundário,Conglomerado, ,BRB (conglomerado),"107,93",120,149,140,409,1111807,999840,498848
2021,1º,Grupo Secundário,Conglomerado, ,BTG PACTUAL (conglomerado), ,29,44,60,133,766998,679113,147461
2021,1º,Grupo Secundário,Conglomerado, ,C6 BANK (conglomerado),"979,53",5940,598,207,6745,6064085,5139889,1748590
2021,1º,Top 10,Conglomerado, ,CAIXA ECONÔMICA FEDERAL (conglomerado),"36,20",5263,6341,4920,16524,145367310,143826538,22933543
2021,1º,Grupo Secundário,Banco/financeira,9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,2,1,4,71736,65584,11640
2021,1º,Grupo Secundário,Conglomerado, ,CCB (conglomerado), ,10,126,15,151,224649,3762,221472
2021,1º,Grupo Secundário,Conglomerado, ,CITIBANK (conglomerado), ,1,11,2,14,17612,16889,1620
2021,1º,Grupo Secundário,Conglomerado, ,COLOMBO (conglomerado), ,0,3,1,4,331101, ,331101
2021,1º,Grupo Secundário,Conglomerado, ,CREFISA (conglomerado), ,25,184,52,261,2255383,1184391,1562138
2021,1º,Grupo Secundário,Conglomerado, ,DAYCOVAL (conglomerado),"274,48",331,400,113,844,1205882,138048,1094686
2021,1º,Grupo Secundário,Banco/financeira,62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO, ,0,1,0,1,2112,2093,164
2021,1º,Grupo Secundário,Banco/financeira,15581638,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,"620,55",70,151,3,224,112802,664,112141
2021,1º,Grupo Secundário,Banco/financeira,411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,0,2,3,5,87041,1715,85381
2021,1º,Grupo Secundário,Conglomerado, ,FINAXIS (conglomerado), ,0,1,0,1,4066,4066, 
2021,1º,Grupo Secundário,Conglomerado, ,GENIAL (conglomerado), ,5,3,2,10,16008,16003,35
2021,1º,Grupo Secundário,Conglomerado, ,GM (conglomerado), ,5,14,23,42,309105,473,308711
2021,1º,Grupo Secundário,Conglomerado, ,GRUPO BONSUCESSO - BS2 (conglomerado),"105,42",82,162,83,327,777801,771754,17097
2021,1º,Grupo Secundário,Conglomerado, ,GRUPO ZEMA (conglomerado), ,1,4,4,9,439232,570,438672
2021,1º,Grupo Secundário,Conglomerado, ,HERVAL - HS (conglomerado), ,3,7,0,10,213321,13314,202222
2021,1º,Grupo Secundário,Conglomerado, ,HONDA (conglomerado), ,0,3,6,9,443975,101,443942
2021,1º,Grupo Secundário,Conglomerado, ,INDUSTRIAL DO BRASIL (conglomerado), ,17,22,7,46,65443,4487,61782
2021,1º,Grupo Secundário,Conglomerado, ,INDUSVAL (conglomerado), ,1,0,3,4,5298,4796,785
2021,1º,Top 10,Conglomerado, ,INTER (conglomerado),"129,26",1245,582,362,2189,9631304,9500388,1557039
2021,1º,Top 10,Conglomerado, ,ITAU (conglomerado),"19,72",1636,3086,2156,6878,82955510,63980098,49391035
2021,1º,Grupo Secundário,Banco/financeira,4230630,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO", ,2,2,3,7,49879, ,49879
2021,1º,Grupo Secundário,Conglomerado, ,JP MORGAN CHASE (conglomerado), ,0,1,0,1,3931,3914,129
2021,1º,Grupo Secundário,Banco/financeira,11271860,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,0,0,1,4,4, 
2021,1º,Grupo Secundário,Conglomerado, ,LECCA (conglomerado), ,3,3,1,7,26060,418,25643
2021,1º,Grupo Secundário,Conglomerado, ,MÁXIMA (conglomerado),"568,89",57,44,18,119,100194,4444,95896
2021,1º,Grupo Secundário,Conglomerado, ,MERCANTIL DO BRASIL (conglomerado),"65,23",227,104,38,369,3479596,2945439,1733419
2021,1º,Grupo Secundário,Conglomerado, ,MERCEDES-BENZ (conglomerado), ,1,0,4,5,20651,252,20473
2021,1º,Top 10,Banco/financeira,9464032,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","2,77",30,91,50,171,10797493,208,10797426
2021,1º,Grupo Secundário,Conglomerado, ,MODAL (conglomerado), ,25,53,34,112,1064679,1064679, 
2021,1º,Grupo Secundário,Banco/financeira,74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO, ,11,22,0,33,91784,3074,89140
2021,1º,Top 10,Conglomerado, ,NUBANK (conglomerado),,0,8,11,19,13774766,12716441,1936741
2021,1º,Grupo Secundário,Conglomerado, ,OMNI (conglomerado),"6,81",32,51,53,136,4695792,9119,4690354
2021,1º,Grupo Secundário,Conglomerado, ,ORIGINAL (conglomerado),"79,22",316,289,239,844,3988641,3643140,820078
2021,1º,Grupo Secundário,Conglomerado, ,PAGBANK-PAGSEGURO (conglomerado), ,0,6,0,6,2476342,2471600,5042
2021,1º,Top 10,Conglomerado, ,PAN (conglomerado),"245,28",2185,1182,586,3953,8907890,3543823,6252547
2021,1º,Grupo Secundário,Conglomerado, ,PARANÁ BANCO (conglomerado),"228,46",111,252,19,382,485854,9678,476431
2021,1º,Grupo Secundário,Banco/financeira,3311443,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.", ,6,3,0,9,3843,0,3843
2021,1º,Grupo Secundário,Banco/financeira,43180355,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","12,90",81,36,16,133,6279057,5846351,2878477
2021,1º,Grupo Secundário,Conglomerado, ,PINE (conglomerado), ,0,0,1,1,12831,10476,2993
2021,1º,Grupo Secundário,Conglomerado, ,PORTO SEGURO (conglomerado),"29,12",80,114,64,258,2747125, ,2747125
2021,1º,Grupo Secundário,Banco/financeira,1800019,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,29,43,15,87,228987,3382,225607
2021,1º,Grupo Secundário,Banco/financeira,27351731,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.", ,6,31,22,59,4979229,45,4979205
2021,1º,Grupo Secundário,Conglomerado, ,RENDIMENTO (conglomerado), ,4,2,0,6,24379,20273,6735
2021,1º,Grupo Secundário,Conglomerado, ,RODOBENS (conglomerado), ,2,2,1,5,13539,1620,12328
2021,1º,Grupo Secundário,Conglomerado, ,SAFRA (conglomerado),"281,53",896,793,399,2088,3182584,1451405,1959556
2021,1º,Grupo Secundário,Banco/financeira,5503849,"SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,1,0,2,29195,1250,27947
